,ChanIndx,CoarseChanNum,DEC,DriftRate,FileID,Freq,FreqEnd,FreqStart,FullNumHitsInRange,Hit_ID,MJD,ON_in_range,RA,RFI_in_range,SNR,Source,TopHitNum,delta_t,filename_fil,obs_run,status
21,818343.0,86.0,21d06m12.24s,-0.630594,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.738382,1380.739193,1380.737565,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,116.984855,HIP39826,292.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
22,818839.0,86.0,21d06m12.24s,-0.492652,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.739788,1380.740599,1380.738971,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,56.232734,HIP39826,293.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
23,819193.0,86.0,21d06m12.24s,-0.512358,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.740792,1380.741603,1380.739975,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,80.761091,HIP39826,294.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
24,819792.0,86.0,21d06m12.24s,-0.295591,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.74249,1380.743301,1380.741674,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,25.839358,HIP39826,295.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
25,820102.0,86.0,21d06m12.24s,-0.541917,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.743369,1380.74418,1380.742553,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,36.572452,HIP39826,296.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
26,820850.0,86.0,21d06m12.24s,-0.295591,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.74549,1380.746301,1380.744674,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,47.747276,HIP39826,297.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
27,821864.0,86.0,21d06m12.24s,-0.522211,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.748366,1380.749176,1380.747549,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,33.988863,HIP39826,298.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
28,822368.0,86.0,21d06m12.24s,-0.532064,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.749795,1380.750606,1380.748978,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,46.617513,HIP39826,299.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
29,822721.0,86.0,21d06m12.24s,-0.532064,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.750796,1380.751606,1380.749979,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,147.526619,HIP39826,300.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
30,823072.0,86.0,21d06m12.24s,-0.512358,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.751791,1380.752602,1380.750974,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,100.943502,HIP39826,301.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
31,823632.0,86.0,21d06m12.24s,-0.601035,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.753379,1380.75419,1380.752562,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,109.342065,HIP39826,302.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
32,824480.0,86.0,21d06m12.24s,-0.443387,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.755783,1380.756594,1380.754967,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,64.733846,HIP39826,303.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
33,825749.0,86.0,21d06m12.24s,-0.630594,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.759381,1380.760192,1380.758565,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,55.960927,HIP39826,305.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
34,826449.0,86.0,21d06m12.24s,-0.522211,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.761366,1380.762177,1380.76055,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,160.322738,HIP39826,306.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
35,827155.0,86.0,21d06m12.24s,-0.541917,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.763368,1380.764179,1380.762552,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,42.370424,HIP39826,307.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
